Source,Target,Type,Id,Label,Weight,via_ego,edge_type
61,1,Undirected,1293,,6,false,enriched
61,112,Undirected,1294,,2,false,enriched
1,112,Undirected,1295,,2,false,epistolary
61,16,Undirected,1296,,2,false,enriched
1,16,Undirected,1297,,2,false,epistolary
32,1,Undirected,1299,,2,false,epistolary
71,138,Undirected,1300,,2,true,epistolary
71,149,Undirected,1301,,2,true,enriched
138,149,Undirected,1302,,2,true,enriched
17,1,Undirected,1303,,2,false,epistolary
82,136,Undirected,1304,,4,false,enriched
82,1,Undirected,1305,,10,false,enriched
82,30,Undirected,1306,,4,false,enriched
136,1,Undirected,1307,,4,false,enriched
136,30,Undirected,1308,,2,false,enriched
1,30,Undirected,1309,,70,false,epistolary
1,100,Undirected,1310,,4,false,enriched
1,88,Undirected,1311,,26,false,epistolary
100,88,Undirected,1312,,2,false,enriched
100,30,Undirected,1313,,2,false,enriched
88,30,Undirected,1314,,16,false,enriched
56,70,Undirected,1315,,2,false,enriched
56,1,Undirected,1316,,2,false,enriched
56,149,Undirected,1317,,2,false,enriched
56,30,Undirected,1318,,2,false,enriched
70,1,Undirected,1319,,2,false,enriched
70,149,Undirected,1320,,2,false,enriched
70,30,Undirected,1321,,2,false,enriched
1,149,Undirected,1322,,14,false,epistolary
149,30,Undirected,1323,,8,false,enriched
1,24,Undirected,1329,,12,false,enriched
1,81,Undirected,1330,,6,false,enriched
24,88,Undirected,1331,,10,false,enriched
24,81,Undirected,1332,,4,false,enriched
24,30,Undirected,1333,,10,false,enriched
88,81,Undirected,1334,,4,false,enriched
81,30,Undirected,1335,,4,false,enriched
103,1,Undirected,1337,,10,false,epistolary
103,24,Undirected,1338,,6,false,enriched
103,88,Undirected,1339,,6,false,enriched
103,81,Undirected,1340,,2,false,enriched
103,30,Undirected,1341,,6,false,enriched
128,1,Undirected,1342,,2,false,epistolary
93,129,Undirected,1343,,2,false,enriched
93,92,Undirected,1344,,2,false,enriched
93,148,Undirected,1345,,2,false,enriched
93,1,Undirected,1346,,4,false,enriched
129,92,Undirected,1347,,2,false,enriched
129,148,Undirected,1348,,2,false,enriched
129,1,Undirected,1349,,2,false,epistolary
92,148,Undirected,1350,,2,false,enriched
92,1,Undirected,1351,,2,false,epistolary
148,1,Undirected,1352,,6,false,enriched
108,1,Undirected,1354,,6,false,enriched
108,88,Undirected,1355,,6,false,enriched
1,2,Undirected,1358,,4,false,enriched
1,62,Undirected,1359,,4,false,epistolary
2,62,Undirected,1360,,4,false,enriched
143,48,Undirected,1361,,2,false,enriched
143,1,Undirected,1362,,2,false,enriched
48,1,Undirected,1363,,2,false,epistolary
140,1,Undirected,1364,,2,false,enriched
140,30,Undirected,1365,,2,false,enriched
103,54,Undirected,1366,,2,false,enriched
1,54,Undirected,1367,,2,false,epistolary
24,54,Undirected,1368,,2,false,enriched
54,30,Undirected,1369,,2,false,enriched
127,1,Undirected,1372,,6,false,enriched
127,99,Undirected,1373,,2,false,enriched
127,30,Undirected,1374,,2,false,enriched
1,99,Undirected,1375,,4,false,enriched
99,30,Undirected,1376,,4,false,enriched
91,1,Undirected,1377,,2,false,enriched
91,24,Undirected,1378,,2,false,enriched
91,88,Undirected,1379,,2,false,enriched
91,30,Undirected,1380,,2,false,enriched
75,122,Undirected,1386,,4,false,enriched
75,3,Undirected,1387,,2,false,enriched
75,1,Undirected,1388,,8,false,enriched
75,126,Undirected,1389,,2,false,enriched
75,50,Undirected,1390,,2,false,enriched
122,3,Undirected,1391,,2,false,enriched
122,1,Undirected,1392,,16,false,enriched
122,126,Undirected,1393,,2,false,enriched
122,50,Undirected,1394,,2,false,enriched
3,1,Undirected,1395,,4,false,enriched
3,126,Undirected,1396,,2,false,enriched
3,50,Undirected,1397,,2,false,enriched
1,126,Undirected,1398,,6,false,enriched
1,50,Undirected,1399,,2,false,enriched
126,50,Undirected,1400,,2,false,enriched
3,68,Undirected,1408,,2,false,enriched
3,135,Undirected,1409,,2,false,enriched
1,68,Undirected,1410,,6,false,epistolary
1,135,Undirected,1411,,2,false,enriched
68,135,Undirected,1412,,2,false,enriched
1,130,Undirected,1415,,2,false,enriched
122,76,Undirected,1420,,8,false,enriched
122,101,Undirected,1421,,10,false,enriched
122,42,Undirected,1422,,2,false,enriched
122,14,Undirected,1423,,8,false,enriched
76,101,Undirected,1424,,8,false,enriched
76,42,Undirected,1425,,2,false,enriched
76,1,Undirected,1426,,14,false,enriched
76,14,Undirected,1427,,4,false,enriched
101,42,Undirected,1428,,2,false,enriched
101,1,Undirected,1429,,12,false,enriched
101,14,Undirected,1430,,8,false,enriched
42,1,Undirected,1431,,4,false,enriched
42,14,Undirected,1432,,2,false,enriched
