Id,Label,type,entity_type,primary_category,mentions,period,language,is_identified,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
61,Alexander The Great,mentioned_only,person,non_epistolary,6,united states,Spanish,true,5,4,3,0.505263,0.515046,2.5
1,Luis Mitrovic Balbontín,ego,person,mixed,0,all,mixed,true,142,4,2,0.986301,0.993056,8486.365307
112,Unknown_S3,direct_correspondent,person,non_epistolary,0,united states,Spanish,true,2,4,3,0.5,0.50463,0
16,Unknown_S4,direct_correspondent,person,non_epistolary,0,united states,English,true,2,4,3,0.5,0.50463,0
32,Lem Bottoms,direct_correspondent,person,institutional_letter,0,united states,English,true,1,4,3,0.49827,0.501157,0
71,Luis Mitrovic Puljizević,direct_correspondent,person,personal_letter,3,all,Spanish,true,7,4,3,0.510638,0.523148,61.166667
138,O. B. Y.,direct_correspondent,person,institutional_letter,0,european,Spanish,true,2,4,4,0.355556,0.369792,0
149,Peter Behrens,direct_correspondent,person,personal_letter,9,european,German,true,23,4,3,0.541353,0.578704,125.107143
17,Luis Arteaga,direct_correspondent,person,institutional_letter,0,european,Spanish,true,1,4,3,0.49827,0.501157,0
82,Adolf Hitler,mentioned_only,person,personal_letter,6,european,German,true,12,4,3,0.517986,0.539352,15.833333
136,Hermann Göring,mentioned_only,person,personal_letter,2,european,mixed,true,4,4,3,0.503497,0.511574,0
30,Winold Tjark Reiss,direct_correspondent,person,personal_letter,34,all,English,true,37,4,3,0.571429,0.627315,245.240476
100,Luis Valdés,mentioned_only,person,personal_letter,3,european,English,true,8,0,3,0.510638,0.525463,2.375
88,Nora Siré,direct_correspondent,person,personal_letter,13,all,English,true,11,4,3,0.516129,0.53588,8.783333
56,Erick,mentioned_only,person,personal_letter,2,european,English,true,4,4,3,0.505263,0.512731,0
70,Franz Krandt,mentioned_only,person,personal_letter,2,european,English,false,4,4,3,0.505263,0.512731,0
24,Mary,mentioned_only,person,personal_letter,9,european,English,true,8,4,3,0.510638,0.525463,1.833333
81,Sergio Larraín,mentioned_only,person,personal_letter,4,european,mixed,true,11,0,3,0.516129,0.53588,7.658333
103,Cucho Errázuriz,direct_correspondent,person,personal_letter,10,european,English,true,9,4,3,0.512456,0.528935,5.033333
128,George H. Watson,direct_correspondent,person,institutional_letter,1,european,English,true,1,4,3,0.49827,0.501157,0
93,Agustin Edwards,mentioned_only,person,mixed,2,european,English,true,7,4,3,0.508834,0.521991,4.25
129,Francis Boardman,direct_correspondent,person,personal_letter,0,european,English,true,4,4,3,0.503497,0.511574,0
92,John Jay,direct_correspondent,person,personal_letter,0,european,English,true,4,4,3,0.503497,0.511574,0
148,Julio,mentioned_only,person,personal_letter,3,european,Spanish,true,11,4,3,0.516129,0.53588,15.666667
108,Etienne,mentioned_only,person,personal_letter,15,all,Spanish,false,5,4,3,0.505263,0.515046,0
2,Phil,mentioned_only,person,personal_letter,3,chilean,Spanish,true,8,2,3,0.510638,0.525463,0
62,Roland Palmedo,direct_correspondent,person,personal_letter,5,chilean,Spanish,true,8,2,3,0.510638,0.525463,0
143,Harriet,mentioned_only,person,personal_letter,3,chilean,English,true,2,1,3,0.5,0.50463,0
48,Harriet and Don,direct_correspondent,person,personal_letter,0,chilean,English,true,2,1,3,0.5,0.50463,0
140,Daniel De Wolff,mentioned_only,person,personal_letter,2,european,English,true,2,4,3,0.5,0.50463,0
54,Mrs. Boward,direct_correspondent,person,personal_letter,1,european,English,true,4,4,3,0.503497,0.511574,0
127,John,mentioned_only,person,personal_letter,5,european,English,true,13,4,3,0.521739,0.543981,11.233333
99,Renate Reiss,mentioned_only,person,personal_letter,4,chilean,English,true,4,4,3,0.503497,0.511574,0
91,Hilty,mentioned_only,person,personal_letter,2,european,English,true,4,4,3,0.503497,0.511574,0
75,Betty Schönmeyer,mentioned_only,person,personal_letter,5,european,Spanish,true,19,2,3,0.531365,0.563657,10.190559
122,Consuelo Gana Snodgrass,mentioned_only,person,personal_letter,24,all,Spanish,true,32,2,3,0.55814,0.608796,61.808164
3,Cota Vicuña,mentioned_only,person,personal_letter,2,european,English,true,8,2,3,0.510638,0.525463,2.533333
126,Marcos,mentioned_only,person,personal_letter,5,european,Spanish,true,9,4,3,0.512456,0.528935,6.666667
50,Sergio Matta,mentioned_only,person,personal_letter,2,european,English,true,6,2,3,0.507042,0.518519,0
151,John C. Harkness,direct_correspondent,person,professional_letter,0,united states,English,true,1,4,3,0.49827,0.501157,0
68,Matías Astoreca Sartori,direct_correspondent,person,personal_letter,4,european,Spanish,true,11,4,3,0.516129,0.53588,13.916667
135,May,mentioned_only,person,personal_letter,2,european,English,true,4,2,3,0.503497,0.511574,0
130,Oscar,mentioned_only,person,personal_letter,2,european,Spanish,true,2,2,3,0.5,0.50463,0
