Envelope,From,To,Date,year,period_label,period_color,placeFrom,placeTo,lat_from,lon_from,lat_to,lon_to,tooltip
S10,O. B. Y.,Luis Mitrovic Puljizević,06-07-1937,1937.0,European (1934–1938),#9B59B6,"Vienna, Austria","Santiago, Chile",48.2082,16.3738,-33.4489,-70.6693,1937 · O. B. Y. → Luis Mitrovic Puljizević
S11,Luis Arteaga,Luis Mitrovic Balbontín,16-12-1937,1937.0,European (1934–1938),#9B59B6,"Santiago, Chile","Santiago, Chile",-33.4489,-70.6693,-33.4489,-70.6693,1937 · Luis Arteaga → Luis Mitrovic Balbontín
S129,Winold Tjark Reiss,Luis Mitrovic Balbontín,24-02-1939,1939.0,European (1934–1938),#9B59B6,"New York, United States","Santiago, Chile",40.7128,-74.006,-33.4489,-70.6693,1939 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S128,Winold Tjark Reiss,Luis Mitrovic Balbontín,13-10-1938,1938.0,European (1934–1938),#9B59B6,"New York, United States","Santiago, Chile",40.7128,-74.006,-33.4489,-70.6693,1938 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S125,Winold Tjark Reiss,Luis Mitrovic Balbontín,21-05-1936,1936.0,European (1934–1938),#9B59B6,"Vienna, Austria","Weimar, Germany",48.2082,16.3738,50.9795,11.3235,1936 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S38,Luis Mitrovic Balbontín,Nora,16-06-1943,1943.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile","Surrey, Great Britain",-33.4489,-70.6693,51.3148,-0.56,1943 · Luis Mitrovic Balbontín → Nora
S39,Nora,Luis Mitrovic Balbontín,28-07-1943,1943.0,Chilean (1938–1970 / 1986–2008),#16A085,"Surrey, Great Britain","Santiago, Chile",51.3148,-0.56,-33.4489,-70.6693,1943 · Nora → Luis Mitrovic Balbontín
S34,George H. Watson,Luis Mitrovic Balbontín,17-03-1941,1941.0,Chilean (1938–1970 / 1986–2008),#16A085,"Salt Lake City, Utah, United States","Sun Valley, Idaho, United States",40.7608,-111.891,43.6971,-114.3533,1941 · George H. Watson → Luis Mitrovic Balbontín
S35,"John Jay
c/o Francis Boardman",Luis Mitrovic Balbontín,22-09-1941,1941.0,Chilean (1938–1970 / 1986–2008),#16A085,"New York, United States","Santiago, Chile",40.7128,-74.006,-33.4489,-70.6693,"1941 · John Jay
c/o Francis Boardman → Luis Mitrovic Balbontín"
S37,Nora,Luis Mitrovic Balbontín,28-05-1943,1943.0,Chilean (1938–1970 / 1986–2008),#16A085,"Surrey, Great Britain","Santiago, Chile",51.3148,-0.56,-33.4489,-70.6693,1943 · Nora → Luis Mitrovic Balbontín
