Envelope,From,To,Date,year,period_label,period_color,mitrovic_place,mitrovic_lat,mitrovic_lon,tooltip,carta_count
S11,Luis Arteaga,Luis Mitrovic Balbontín,16-12-1937,1937.0,European (1934–1938),#9B59B6,"Santiago, Chile",-33.4489,-70.6693,1937 · Luis Arteaga → Luis Mitrovic Balbontín,64
S129,Winold Tjark Reiss,Luis Mitrovic Balbontín,24-02-1939,1939.0,European (1934–1938),#9B59B6,"Santiago, Chile",-33.4489,-70.6693,1939 · Winold Tjark Reiss → Luis Mitrovic Balbontín,64
S128,Winold Tjark Reiss,Luis Mitrovic Balbontín,13-10-1938,1938.0,European (1934–1938),#9B59B6,"Santiago, Chile",-33.4489,-70.6693,1938 · Winold Tjark Reiss → Luis Mitrovic Balbontín,64
S125,Winold Tjark Reiss,Luis Mitrovic Balbontín,21-05-1936,1936.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1936 · Winold Tjark Reiss → Luis Mitrovic Balbontín,21
S38,Luis Mitrovic Balbontín,Nora,16-06-1943,1943.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1943 · Luis Mitrovic Balbontín → Nora,64
S39,Nora,Luis Mitrovic Balbontín,28-07-1943,1943.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1943 · Nora → Luis Mitrovic Balbontín,64
S34,George H. Watson,Luis Mitrovic Balbontín,17-03-1941,1941.0,Chilean (1938–1970 / 1986–2008),#16A085,"Sun Valley, Idaho, United States",43.6971,-114.3533,1941 · George H. Watson → Luis Mitrovic Balbontín,1
S35,"John Jay
c/o Francis Boardman",Luis Mitrovic Balbontín,22-09-1941,1941.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,"1941 · John Jay
c/o Francis Boardman → Luis Mitrovic Balbontín",64
S37,Nora,Luis Mitrovic Balbontín,28-05-1943,1943.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1943 · Nora → Luis Mitrovic Balbontín,64
S42,Nora,Luis Mitrovic Balbontín,28-01-1999,1999.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1999 · Nora → Luis Mitrovic Balbontín,64
S48,Roland Palmedo,Luis Mitrovic Balbontín,21-08-1951,1951.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1951 · Roland Palmedo → Luis Mitrovic Balbontín,64
S52,Harriet and Don,Luis Mitrovic Balbontín,27-09-1999,1999.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1999 · Harriet and Don → Luis Mitrovic Balbontín,64
S130,Winold Tjark Reiss,Luis Mitrovic Balbontín,25-12-1937,1937.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1937 · Winold Tjark Reiss → Luis Mitrovic Balbontín,21
S131,Winold Tjark Reiss,Luis Mitrovic Balbontín,25-07-1937,1937.0,European (1934–1938),#9B59B6,"Santiago, Chile",-33.4489,-70.6693,1937 · Winold Tjark Reiss → Luis Mitrovic Balbontín,64
S132,Winold Tjark Reiss,Luis Mitrovic Balbontín,07-10-1937,1937.0,European (1934–1938),#9B59B6,"Santiago, Chile",-33.4489,-70.6693,1937 · Winold Tjark Reiss → Luis Mitrovic Balbontín,64
S133,Winold Tjark Reiss,Luis Mitrovic Balbontín,06-03-1936,1936.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1936 · Winold Tjark Reiss → Luis Mitrovic Balbontín,21
S134,Winold Tjark Reiss,Luis Mitrovic Balbontín,24-02-1949,1949.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1949 · Winold Tjark Reiss → Luis Mitrovic Balbontín,64
S135,Nora,Luis Mitrovic Balbontín,1943,1943.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1943 · Nora → Luis Mitrovic Balbontín,64
S139,Winold Tjark Reiss,Luis Mitrovic Balbontín,31-07-1937,1937.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1937 · Winold Tjark Reiss → Luis Mitrovic Balbontín,21
S150,Mrs. Boward,Luis Mitrovic Balbontín,12-03-1943,1943.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1943 · Mrs. Boward → Luis Mitrovic Balbontín,64
S151,Nora,Luis Mitrovic Balbontín,10-06-1943,1943.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1943 · Nora → Luis Mitrovic Balbontín,64
S157,Winold Tjark Reiss,Luis Mitrovic Balbontín,09-09-1994,1994.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1994 · Winold Tjark Reiss → Luis Mitrovic Balbontín,64
S157,Luis Mitrovic Balbontín,Winold Tjark Reiss,10-10-1994,1994.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1994 · Luis Mitrovic Balbontín → Winold Tjark Reiss,64
S157,Luis Mitrovic Balbontín,Winold Tjark Reiss,08-11-1994,1994.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1994 · Luis Mitrovic Balbontín → Winold Tjark Reiss,64
S157,Luis Mitrovic Balbontín,Winold Tjark Reiss,16-11-1994,1994.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1994 · Luis Mitrovic Balbontín → Winold Tjark Reiss,64
S157,Winold Tjark Reiss,Luis Mitrovic Balbontín,08-11-1994,1994.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1994 · Winold Tjark Reiss → Luis Mitrovic Balbontín,64
S158,Winold Tjark Reiss,Luis Mitrovic Balbontín,16-07-1937,1937.0,European (1934–1938),#9B59B6,"Antwerp, Belgium",51.2194,4.4025,1937 · Winold Tjark Reiss → Luis Mitrovic Balbontín,2
S159,Winold Tjark Reiss,Luis Mitrovic Balbontín,30-12-1936,1936.0,European (1934–1938),#9B59B6,"Kitzbühel, Austria",47.4458,12.3925,1936 · Winold Tjark Reiss → Luis Mitrovic Balbontín,3
S160,Winold Tjark Reiss,Luis Mitrovic Balbontín,18-12-1937,1937.0,European (1934–1938),#9B59B6,"Santiago, Chile",-33.4489,-70.6693,1937 · Winold Tjark Reiss → Luis Mitrovic Balbontín,64
S161,Winold Tjark Reiss,Luis Mitrovic Balbontín,19-01-1940,1940.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1940 · Winold Tjark Reiss → Luis Mitrovic Balbontín,64
S162,Winold Tjark Reiss,Luis Mitrovic Balbontín,23-03-1978,1978.0,United States (1971–1985),#D4AC0D,"Boston, Massachusetts, USA",42.3601,-71.0589,1978 · Winold Tjark Reiss → Luis Mitrovic Balbontín,5
S163,Winold Tjark Reiss,Luis Mitrovic Balbontín,21-04-1977,1977.0,United States (1971–1985),#D4AC0D,"Boston, Massachusetts, USA",42.3601,-71.0589,1977 · Winold Tjark Reiss → Luis Mitrovic Balbontín,5
S164,Winold Tjark Reiss,Luis Mitrovic Balbontín,08-04-1977,1977.0,United States (1971–1985),#D4AC0D,"Boston, Massachusetts, USA",42.3601,-71.0589,1977 · Winold Tjark Reiss → Luis Mitrovic Balbontín,5
S171,Angela Gana,Luis Mitrovic Balbontín,04-02-1942,1942.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1942 · Angela Gana → Luis Mitrovic Balbontín,64
S172,Angela Gana,Luis Mitrovic Balbontín,02-02-1942,1942.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1942 · Angela Gana → Luis Mitrovic Balbontín,64
