doc_id,Envelope,Language,PER_count,PER_unique,LOC_count,LOC_unique,ORG_count,total_entities,total_unique
S68-003,S68,German,0,0,2,2,4,6,6
S72-003,S72,German,0,0,2,2,5,7,6
S73-002,S73,German,0,0,0,0,0,0,0
S76-003,S76,German,0,0,0,0,1,1,1
S77-001,S77,German,0,0,0,0,1,1,1
S78-003,S78,German,0,0,0,0,6,6,5
S79-001,S79,German,0,0,1,1,7,8,7
S80-003,S80,German,0,0,1,1,5,6,6
S81-003,S81,German,0,0,1,1,3,4,4
S82-003,S82,German,0,0,0,0,0,0,0
S83-003,S83,German,0,0,1,1,9,10,8
S84-002,S84,German,0,0,0,0,3,3,3
S95-002,S95,German,0,0,0,0,1,1,1
S43-003,S43,German,0,0,1,1,9,10,9
S67-003,S67,German,0,0,3,2,8,11,9
S40-001,S40,Spanish,20,9,18,12,4,42,25
S41-001,S41,Spanish,24,12,45,26,2,71,40
S171-003,S171,English,0,0,0,0,2,2,2
S172-003,S172,English,0,0,0,0,1,1,1
S173-003,S173,Spanish,18,10,5,5,0,23,15
S174-002,S174,Spanish,23,16,26,18,7,56,41
S174-015,S174,Spanish,31,23,22,18,9,62,50
S175-002,S175,Spanish,5,5,24,21,5,34,31
S176-002,S176,Spanish,19,14,10,10,3,32,27
S177-002,S177,Spanish,16,11,13,10,2,31,23
S178-003,S178,Spanish,27,20,11,11,6,44,37
S179-003,S179,Spanish,74,55,35,27,8,117,90
S174-010,S174,Spanish,32,31,12,11,4,48,46
S105-001,S105,Spanish,6,6,15,12,1,22,19
S202-001,S202,English,0,0,17,16,1,18,17
S104-003,S104,English,0,0,0,0,2,2,1
S197-003,S197,English,0,0,1,1,0,1,1
S198-003,S198,English,0,0,1,1,5,6,6
S199-003,S199,English,0,0,1,1,1,2,2
S200-003,S200,English,0,0,2,1,3,5,3
S113-003,S113,Spanish,7,7,5,3,1,13,11
S114-003,S114,Spanish,3,3,3,2,6,12,11
S115-003,S115,Spanish,7,7,5,2,4,16,13
S116-003,S116,Spanish,6,5,2,1,2,10,8
S117-003,S117,Spanish,7,7,9,7,8,24,16
S61-002,S61,Spanish,9,9,15,10,2,26,21
S122-003,S122A,Spanish,8,8,9,7,2,19,17
S58-002,S58,Spanish,2,2,1,1,0,3,3
S64-002A,S64A,Spanish,2,2,4,3,0,6,5
S64-002B,S64B,Spanish,3,3,6,4,2,11,8
S122-006,S122B,Spanish,2,2,0,0,1,3,3
S53-001,S53,Spanish,16,12,6,6,5,27,22
S55-003,S55,Spanish,8,8,6,6,3,17,17
S122-007,S122C,Spanish,8,8,16,13,4,28,25
S44-002,S44,Spanish,8,7,6,5,0,14,12
