Envelope,Filename,Language,category,include_in_network,PER_count,PER_unique,LOC_count,LOC_unique,ORG_count,total_entities,total_unique
S3,MITRO3-S3-DOC-001,Spanish,non_epistolary_authored,yes,6,6,32,26,13,51,44
S4,MITRO3-S4-DOC-001,English,non_epistolary_authored,yes,0,0,21,20,13,34,33
S5,MITRO3-S5-DOC-001,English,non_epistolary_collected,no,0,0,0,0,7,7,7
S6,MITRO3-S6-DOC-001,English,non_epistolary_authored,yes,0,0,20,17,7,27,23
S7,MITRO3-S7-DOC-001,English,institutional_letter,yes,0,0,4,2,14,18,9
S8,MITRO3-S8-DOC-001,English,institutional_letter,yes,0,0,0,0,3,3,3
S10,MITRO3-S10-CARTA-001,Spanish,institutional_letter,yes,7,5,4,4,2,13,11
S11,MITRO3-S11-CARTA-003,Spanish,institutional_letter,yes,4,4,2,2,5,11,9
S129,MITRO3-S129-CARTA-003,English,personal_letter,yes,0,0,3,2,3,6,5
S128,MITRO3-S128-CARTA-003,English,personal_letter,yes,0,0,4,3,3,7,6
S125,MITRO3-S125-CARTA-003,English,personal_letter,yes,0,0,1,1,1,2,2
S38,MITRO3-S38-CARTA-001,English,personal_letter,yes,0,0,0,0,0,0,0
S39,MITRO3-S39-CARTA-003,English,personal_letter,yes,0,0,0,0,0,0,0
S34,MITRO3-S34-CARTA-002,English,institutional_letter,yes,0,0,0,0,5,5,4
S35,MITRO3-S35-CARTA-003,English,personal_letter,yes,0,0,3,3,3,6,6
S37,MITRO3-S37-CARTA-003,English,personal_letter,yes,0,0,0,0,0,0,0
S42,MITRO3-S42-CARTA-003,English,personal_letter,yes,0,0,0,0,1,1,1
S48,MITRO3-S48-CARTA-003,English,personal_letter,yes,0,0,0,0,0,0,0
S52,MITRO3-S52-CARTA-003,English,personal_letter,yes,0,0,1,1,1,2,2
S130,MITRO3-S130-CARTA-002,English,personal_letter,yes,0,0,3,3,3,6,6
S131,MITRO3-S131-CARTA-003,English,personal_letter,yes,0,0,6,5,8,14,12
S132,MITRO3-S132-CARTA-003,English,personal_letter,yes,0,0,1,1,1,2,2
S133,MITRO3-S133-CARTA-001,English,personal_letter,yes,0,0,0,0,0,0,0
S134,MITRO3-S134-CARTA-003,English,personal_letter,yes,0,0,1,1,2,3,3
S135,MITRO3-S135-CARTA-001,English,personal_letter,yes,0,0,0,0,0,0,0
S139,MITRO3-S139-CARTA-001,English,personal_letter,yes,0,0,1,1,2,3,3
S150,MITRO3-S150-CARTA-003,English,personal_letter,yes,0,0,0,0,0,0,0
S151,MITRO3-S151-CARTA-003,English,personal_letter,yes,0,0,0,0,0,0,0
S157,MITRO3-S157-CARTA-003,English,personal_letter,yes,0,0,1,1,2,3,3
S157,MITRO3-S157-CARTA-005,English,personal_letter,yes,0,0,1,1,0,1,1
S157,MITRO3-S157-CARTA-006,English,personal_letter,yes,0,0,0,0,0,0,0
S157,MITRO3-S157-CARTA-008,English,personal_letter,yes,0,0,0,0,0,0,0
S157,MITRO3-S157-CARTA-007,English,personal_letter,yes,0,0,0,0,0,0,0
S158,MITRO3-S158-CARTA-003,English,personal_letter,yes,0,0,0,0,7,7,6
S159,MITRO3-S159-CARTA-003,English,personal_letter,yes,0,0,1,1,0,1,1
S160,MITRO3-S160-CARTA-001,English,personal_letter,yes,0,0,3,3,0,3,3
S161,MITRO3-S161-CARTA-003,English,personal_letter,yes,0,0,1,1,2,3,3
S162,MITRO3-S162-CARTA-001,English,personal_letter,yes,0,0,0,0,1,1,1
S163,MITRO3-S163-CARTA-001,English,personal_letter,yes,0,0,0,0,1,1,1
S164,MITRO3-S164-CARTA-001,English,personal_letter,yes,0,0,0,0,0,0,0
S171,MITRO3-S171-CARTA-003,English,personal_letter,yes,0,0,0,0,2,2,2
S172,MITRO3-S172-CARTA-003,English,personal_letter,yes,0,0,0,0,1,1,1
S173,MITRO3-S173-CARTA-003,Spanish,personal_letter,yes,18,10,5,5,0,23,15
S174,MITRO3-S174-CARTA-002,Spanish,personal_letter,yes,23,16,26,18,7,56,41
S174,MITRO3-S174-CARTA-010,Spanish,personal_letter,yes,32,31,12,11,4,48,46
S174,MITRO3-S174-CARTA-015,Spanish,personal_letter,yes,31,23,22,18,9,62,50
S175,MITRO3-S175-CARTA-002,Spanish,personal_letter,yes,5,5,24,21,5,34,31
S176,MITRO3-S176-CARTA-002,Spanish,personal_letter,yes,19,14,10,10,3,32,27
S177,MITRO3-S177-CARTA-002,Spanish,personal_letter,yes,16,11,13,10,2,31,23
S178,MITRO3-S178-CARTA-003,Spanish,personal_letter,yes,27,20,11,11,6,44,37
S179,MITRO3-S179-CARTA-003,Spanish,personal_letter,yes,74,55,35,27,8,117,90
S57,MITRO3-S57-CARTA-002,German,professional_letter,yes,0,0,0,0,3,3,3
S54A,MITRO3-S54-CARTA-003-,English,institutional_letter,yes,0,0,0,0,3,3,3
S54B,MITRO3-S54-CARTA-004,English,institutional_letter,yes,0,0,0,0,1,1,1
S59A,MITRO3-S59-CARTA-002,German,institutional_letter,yes,0,0,0,0,2,2,2
S59B,MITRO3-S59-CARTA-003,German,institutional_letter,yes,0,0,0,0,3,3,3
S60,MITRO3-S60-CARTA-002,German,institutional_letter,yes,0,0,0,0,2,2,2
S61,MITRO3-S61-CARTA-002,Spanish,personal_letter,yes,9,9,15,10,2,26,21
S62,MITRO3-S62-CARTA-001,Spanish,personal_letter,yes,4,4,2,2,2,8,8
S63,MITRO3-S63-CARTA-001,German,institutional_letter,yes,0,0,0,0,2,2,2
S68,MITRO3-S68-CARTA-003,German,personal_letter,yes,0,0,2,2,4,6,6
S72,MITRO3-S72-CARTA-003,German,personal_letter,yes,0,0,2,2,5,7,6
S73,MITRO3-S73-CARTA-002,German,personal_letter,yes,0,0,0,0,0,0,0
S76,MITRO3-S76-CARTA-003,German,personal_letter,yes,0,0,0,0,1,1,1
S77,MITRO3-S77-CARTA-001,German,personal_letter,yes,0,0,0,0,1,1,1
S78,MITRO3-S78-CARTA-003,German,personal_letter,yes,0,0,0,0,6,6,5
S79,MITRO3-S79-CARTA-001,German,personal_letter,yes,0,0,1,1,7,8,7
S80,MITRO3-S80-CARTA-003,German,personal_letter,yes,0,0,1,1,5,6,6
S81,MITRO3-S81-CARTA-003,German,personal_letter,yes,0,0,1,1,3,4,4
S82,MITRO3-S82-CARTA-003,German,personal_letter,yes,0,0,0,0,0,0,0
S83,MITRO3-S83-CARTA-003,German,personal_letter,yes,0,0,1,1,9,10,8
S84,MITRO3-S84-CARTA-002,German,personal_letter,yes,0,0,0,0,3,3,3
S87,MITRO3-S87-DOC-003,Spanish,personal_letter,yes,33,32,28,16,13,74,59
S88,MITRO3-S88-DOC-001,German,non_epistolary_collected,yes,0,0,4,4,0,4,4
S89,MITRO3-S89-CARTA-001,English,institutional_letter,yes,0,0,0,0,2,2,2
S90A,MITRO3-S90-CARTA-002,German,professional_letter,yes,0,0,0,0,0,0,0
S90B,MITRO3-S90-CARTA-003,German,institutional_letter,yes,0,0,0,0,3,3,3
S91,MITRO3-S91-CARTA-003,German,personal_letter,yes,0,0,3,2,0,3,2
S92,MITRO3-S92-CARTA-003,German,personal_letter,yes,0,0,0,0,5,5,4
S93,MITRO3-S93-CARTA-003,German,personal_letter,yes,0,0,2,2,0,2,2
S94,MITRO3-S94-CARTA-003,English,personal_letter,yes,0,0,2,2,1,3,3
S95,MITRO3-S95-CARTA-002,German,personal_letter,yes,0,0,0,0,1,1,1
S96,MITRO3-S96-CARTA-001,German,personal_letter,yes,0,0,1,1,3,4,4
S97,MITRO3-S97-CARTA-002,German,personal_letter,yes,0,0,2,2,1,3,3
S98A,MITRO3-S98-CARTA-002A,Spanish,personal_letter,yes,3,3,0,0,0,3,3
S98B,MITRO3-S98-CARTA-002B,Spanish,personal_letter,yes,2,2,0,0,0,2,2
S99,MITRO3-S99-CARTA-002,English,personal_letter,yes,0,0,1,1,0,1,1
S100,MITRO3-S100-CARTA-001,English,personal_letter,yes,0,0,0,0,1,1,1
S102,MITRO3-S102-CARTA-002,English,personal_letter,yes,0,0,0,0,2,2,2
S103,MITRO3-S103-CARTA-002,German,personal_letter,yes,0,0,1,1,0,1,1
S104,MITRO3-S104-CARTA-003,English,personal_letter,yes,0,0,0,0,2,2,1
S105,MITRO3-S105-CARTA-001,Spanish,personal_letter,yes,6,6,15,12,1,22,19
S106,MITRO3-S106-CARTA-001,Spanish,personal_letter,yes,7,7,5,5,1,13,13
S107,MITRO3-S107-CARTA-002,Spanish,personal_letter,yes,24,22,20,19,5,49,46
S108,MITRO3-S108-CARTA-001,German,personal_letter,yes,0,0,0,0,1,1,1
S185,MITRO3-S185-CARTA-003,German,personal_letter,yes,0,0,0,0,1,1,1
S109,MITRO3-S109-CARTA-001,German,personal_letter,yes,0,0,2,1,0,2,1
S110,MITRO3-S110-CARTA-003,Spanish,personal_letter,yes,14,13,18,15,0,32,28
S111,MITRO3-S111-CARTA-002,German,personal_letter,yes,0,0,1,1,1,2,2
S113,MITRO3-S113-CARTA-003,Spanish,personal_letter,yes,7,7,5,3,1,13,11
S114,MITRO3-S114-CARTA-003,Spanish,personal_letter,yes,3,3,3,2,6,12,11
S115,MITRO3-S115-CARTA-003,Spanish,personal_letter,yes,7,7,5,2,4,16,13
S116,MITRO3-S116-CARTA-003,Spanish,personal_letter,yes,6,5,2,1,2,10,8
S117,MITRO3-S117-CARTA-003,Spanish,personal_letter,yes,7,7,9,7,8,24,16
S118,MITRO3-S118-CARTA-003,Spanish,personal_letter,yes,6,4,2,2,2,10,8
S119,MITRO3-S119-CARTA-003,Spanish,personal_letter,yes,6,6,23,11,9,38,26
S120,MITRO3-S120-CARTA-003,Spanish,personal_letter,yes,4,4,10,6,7,21,17
S121,MITRO3-S121-CARTA-001,German,personal_letter,yes,0,0,0,0,0,0,0
S122A,MITRO3-S122-CARTA-003,Spanish,personal_letter,yes,8,8,9,7,2,19,17
S122B,MITRO3-S122-CARTA-006,Spanish,personal_letter,yes,2,2,0,0,1,3,3
