Envelope;Filename;placeFrom;placeTo;To;From;Date
S3;MITRO3-S3-DOC-001;;;;;Unkown
S4;MITRO3-S4-DOC-001;;;;;Unkown
S5;MITRO3-S5-DOC-001;;;;;Unkown
S6;MITRO3-S6-DOC-001;;;;;03-11-1976
S7;MITRO3-S7-DOC-001;;;Chip Harkness;Luis Mitrovic;22-10-1976
S8;MITRO3-S8-DOC-001;Unknown;Unknown;Lem Bottoms;Luis Mitrovic;25-04-1977
S10;MITRO3-S10-CARTA-001;Vienna, Austria;Santiago, Chile;Luis Mitrovic Puljizević;O. B. Y.;06-07-1937
S11;MITRO3-S11-CARTA-003;Santiago, Chile;Santiago, Chile;Luis Mitrovic Balbontín;Luis Arteaga;16-12-1937
S129;MITRO3-S129-CARTA-003;New York, United States;Santiago, Chile;Luis Mitrovic Balbontín;Winold Tjark Reiss;24-02-1939
S128;MITRO3-S128-CARTA-003;New York, United States;Santiago, Chile;Luis Mitrovic Balbontín;Winold Tjark Reiss;13-10-1938
S125;MITRO3-S125-CARTA-003;Vienna, Austria;Weimar, Germany;Luis Mitrovic Balbontín;Winold Tjark Reiss;21-05-1936
S38;MITRO3-S38-CARTA-001;Santiago, Chile;Surrey, Great Britain;Nora;Luis Mitrovic Balbontín;16-06-1943
S39;MITRO3-S39-CARTA-003;Surrey, Great Britain;Santiago, Chile;Luis Mitrovic Balbontín;Nora;28-07-1943
S34;MITRO3-S34-CARTA-002;Salt Lake City, Utah, United States;Sun Valley, Idaho, United States;Luis Mitrovic Balbontín;George H. Watson;17-03-1941
S35;MITRO3-S35-CARTA-003;New York, United States;Santiago, Chile;Luis Mitrovic Balbontín;"John Jay
c/o Francis Boardman";22-09-1941
S37;MITRO3-S37-CARTA-003;Surrey, Great Britain;Santiago, Chile;Luis Mitrovic Balbontín;Nora;28-05-1943
S42;MITRO3-S42-CARTA-003;Tuderschitz, Austria;Santiago, Chile;Luis Mitrovic Balbontín;Nora;28-01-1999
S48;MITRO3-S48-CARTA-003;New York, United States;Santiago, Chile;Luis Mitrovic Balbontín;Roland Palmedo;21-08-1951
S52;MITRO3-S52-CARTA-003;Cambridge, Massachusetts, USA;Santiago, Chile;Luis Mitrovic Balbontín;Harriet and Don;27-09-1999
S130;MITRO3-S130-CARTA-002;Huancayo, Peru;Vienna, Austria;Luis Mitrovic Balbontín;Winold Tjark Reiss;25-12-1937
S131;MITRO3-S131-CARTA-003;Athens, Greece;Santiago, Chile;Luis Mitrovic Balbontín;Winold Tjark Reiss;25-07-1937
S132;MITRO3-S132-CARTA-003;Temuco, Chile;Providencia, Santiago, Chile;Luis Mitrovic Balbontín;Winold Tjark Reiss;07-10-1937
S133;MITRO3-S133-CARTA-001;Vienna, Austria;Weimar, Germany;Luis Mitrovic Balbontín;Winold Tjark Reiss;06-03-1936
S134;MITRO3-S134-CARTA-003;New York;Santiago, Chile;Luis Mitrovic Balbontín;Winold Tjark Reiss;24-02-1949
S135;MITRO3-S135-CARTA-001;Surrey, Great Britain;Santiago, Chile;Luis Mitrovic Balbontín;Nora;1943
S139;MITRO3-S139-CARTA-001;Dubrovnik, Croatia;Vienna, Austria;Luis Mitrovic Balbontín;Winold Tjark Reiss;31-07-1937
S150;MITRO3-S150-CARTA-003;"Ridgeway
Leatherhead
Surrey, Great Britain";Santiago, Chile;Luis Mitrovic Balbontín;Mrs. Boward;12-03-1943
S151;MITRO3-S151-CARTA-003;Ockley, Surrey, Great Britain;Santiago, Chile;Luis Mitrovic Balbontín;Nora;10-06-1943
S157;MITRO3-S157-CARTA-003;New York;Santiago, Chile;Luis Mitrovic Balbontín;Winold Tjark Reiss;09-09-1994
S157;MITRO3-S157-CARTA-005;Santiago, Chile;New York, USA;Winold Tjark Reiss;Luis Mitrovic Balbontín;10-10-1994
S157;MITRO3-S157-CARTA-006;Santiago, Chile;New York, USA;Winold Tjark Reiss;Luis Mitrovic Balbontín;08-11-1994
S157;MITRO3-S157-CARTA-008;Santiago, Chile;New York, USA;Winold Tjark Reiss;Luis Mitrovic Balbontín;16-11-1994
S157;MITRO3-S157-CARTA-007;New York;Santiago, Chile;Luis Mitrovic Balbontín;Winold Tjark Reiss;08-11-1994
S158;MITRO3-S158-CARTA-003;Vienna, Austria;Amberes, Belgium;Luis Mitrovic Balbontín;Winold Tjark Reiss;16-07-1937
S159;MITRO3-S159-CARTA-003;La Tour de Peilz, Switzerland;Kitzbühel, Austria;Luis Mitrovic Balbontín;Winold Tjark Reiss;30-12-1936
S160;MITRO3-S160-CARTA-001;Cuzco, Peru;Santiago, Chile;Luis Mitrovic Balbontín;Winold Tjark Reiss;18-12-1937
S161;MITRO3-S161-CARTA-003;New York;Santiago, Chile;Luis Mitrovic Balbontín;Winold Tjark Reiss;19-01-1940
S162;MITRO3-S162-CARTA-001;Beja, Portugal;Boston, Massachusetts, USA;Luis Mitrovic Balbontín;Winold Tjark Reiss;23-03-1978
S163;MITRO3-S163-CARTA-001;Barcelona, Spain;Boston, Massachusetts, USA;Luis Mitrovic Balbontín;Winold Tjark Reiss;21-04-1977
S164;MITRO3-S164-CARTA-001;Islas Canarias, Spain;Boston, Massachusetts, USA;Luis Mitrovic Balbontín;Winold Tjark Reiss;08-04-1977
S171;MITRO3-S171-CARTA-003;Algarrobo, Chile;Santiago, Chile;Luis Mitrovic Balbontín;Angela Gana;04-02-1942
S172;MITRO3-S172-CARTA-003;Algarrobo, Chile;Santiago, Chile;Luis Mitrovic Balbontín;Angela Gana;02-02-1942
S173;MITRO3-S173-CARTA-003;Algarrobo, Chile;Santiago, Chile;Luis Mitrovic Balbontín;Angela Gana;12-02-1943
S174;MITRO3-S174-CARTA-002;London, UK;Providencia, Santiago, Chile;Luis Mitrovic Balbontín;Angela Gana;27-11-1961
S174;MITRO3-S174-CARTA-010;Santiago, Chile;London, UK;Angela Gana;Luis Mitrovic Balbontín;28-11-1961
S174;MITRO3-S174-CARTA-015;New York;Santiago, Chile;Luis Mitrovic Balbontín;Angela Gana;19-12-1961
S175;MITRO3-S175-CARTA-002;London, UK;Santiago, Chile;Luis Mitrovic Balbontín;Angela Gana;24-11-1961
S176;MITRO3-S176-CARTA-002;London, UK;Santiago, Chile;Luis Mitrovic Balbontín;Angela Gana;22-11-1961
S177;MITRO3-S177-CARTA-002;London, UK;Santiago, Chile;Luis Mitrovic Balbontín;Angela Gana;16-11-1961
S178;MITRO3-S178-CARTA-003;New York;Santiago, Chile;Luis Mitrovic Balbontín;Angela Gana;22-12-1961
S179;MITRO3-S179-CARTA-003;London, UK;Santiago, Chile;Luis Mitrovic Balbontín;Angela Gana;17-11-1961
S57;MITRO3-S57-CARTA-002;Vienna, Austria;Vienna, Austria;Luis Mitrovic Balbontín;Peter Behrens;21-06-1935
S54A;MITRO3-S54-CARTA-003-;London, UK;Vienna, Austria;Luis Mitrovic Balbontín;Baburizza & Company LTD;12-09-1935
S54B;MITRO3-S54-CARTA-004;London, UK;Vienna, Austria;Luis Mitrovic Balbontín;Baburizza & Company LTD;24-11-1936
S59A;MITRO3-S59-CARTA-002;Hamburg, Germany;Dubrovnik, Croatia;Luis Mitrovic Balbontín;John Grisar;14-08-1935
S59B;MITRO3-S59-CARTA-003;Hamburg, Germany;Dubrovnik, Croatia;Luis Mitrovic Balbontín;John Grisar;13-08-1935
S60;MITRO3-S60-CARTA-002;Hamburg, Germany;Vienna, Austria;Luis Mitrovic Balbontín;John Grisar;21-09-1935
S61;MITRO3-S61-CARTA-002;Warsow, Poland;Weimar, Germany;Luis Mitrovic Balbontín;Jorge Hubner Gallo;08-01-1936
S62;MITRO3-S62-CARTA-001;Lima, Peru;Weimar, Germany;Luis Mitrovic;Unknown;30-11-1935
S63;MITRO3-S63-CARTA-001;Vienna, Austria;Vienna, Austria;Luis Mitrovic Balbontín;Unknown;07-12-1934
S68;MITRO3-S68-CARTA-003;Solothurn, Switzerland;Vienna, Austria;Luis Mitrovic Balbontín;Rolf Altenburger;09-06-1937
S72;MITRO3-S72-CARTA-003;Wuppertal, Germany;Vienna, Austria;Luis Mitrovic Balbontín;Rolf Altenburger;07-11-1936
S73;MITRO3-S73-CARTA-002;Solothurn, Switzerland;Porto, Portugal;Luis Mitrovic Balbontín;Rolf Altenburger;29-07-1936
S76;MITRO3-S76-CARTA-003;Solothurn, Switzerland;Santiago, Chile;Luis Mitrovic Balbontín;Rolf Altenburger;02-11-1989
S77;MITRO3-S77-CARTA-001;Solothurn, Switzerland;Santiago, Chile;Luis Mitrovic Balbontín;Rolf Altenburger;01-10-1991
S78;MITRO3-S78-CARTA-003;Solothurn, Switzerland;Antwerp, Belgium;Luis Mitrovic Balbontín;Rolf Altenburger;11-07-1937
S79;MITRO3-S79-CARTA-001;Solothurn, Switzerland;Santiago, Chile;Luis Mitrovic Balbontín;Rolf Altenburger;30-06-1991
S80;MITRO3-S80-CARTA-003;Dusseldorf, Germany;Weimar, Germany;Luis Mitrovic Balbontín;Rolf Altenburger;18-03-1936
S81;MITRO3-S81-CARTA-003;Solothurn, Switzerland;London, UK;Luis Mitrovic Balbontín;Rolf Altenburger;07-09-1936
S82;MITRO3-S82-CARTA-003;Solothurn, Switzerland;Weimar, Germany;Luis Mitrovic Balbontín;Rolf Altenburger;01-01-1936
S83;MITRO3-S83-CARTA-003;Wuppertal, Germany;Vienna, Austria;Luis Mitrovic Balbontín;Rolf Altenburger;20-03-1937
S84;MITRO3-S84-CARTA-002;Wuppertal, Germany;Vienna, Austria;Luis Mitrovic Balbontín;Rolf Altenburger;26-01-1937
